team,state,year,value,access_date,source
Grêmio,RS,2015,239.00,2025-01-05,https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/
Grêmio,RS,2016,239.90,2025-01-05,https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata
Grêmio,RS,2020,259.90,2025-01-05,https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html
Grêmio,RS,2023,349.90,2025-01-05,https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml
Internacional,RS,2014,229.90,2025-01-05,https://www.uol.com.br/esporte/futebol/ultimas-noticias/2014/08/01/inter-lanca-nova-camisa-sem-festa-e-com-modelo-mais-tradicional.htm
Internacional,RS,2015,229.00,2025-01-05,https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/
Internacional,RS,2016,399.90,2025-01-05,https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata
Internacional,RS,2020,249.99,2025-01-05,https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html
Internacional,RS,2023,349.90,2025-01-05,https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml
Atlético-MG,MG,2013,200.00,2025-01-05,https://esportes.r7.com/futebol/fotos/valores-de-camisas-de-times-brasileiros-valem-mais-que-as-de-europeus-entenda-07082013/
Atlético-MG,MG,2015,229.00,2025-01-05,https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/
Atlético-MG,MG,2016,229.90,2025-01-05,https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata
Atlético-MG,MG,2020,259.99,2025-01-05,https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html
Atlético-MG,MG,2023,349.99,2025-01-05,https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml
Cruzeiro,MG,2015,199.00,2025-01-05,https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/
Cruzeiro,MG,2016,239.90,2025-01-05,https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata
Cruzeiro,MG,2023,349.90,2025-01-05,https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml
São Paulo,SP,2015,199.00,2025-01-05,https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/
São Paulo,SP,2016,229.90,2025-01-05,https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata
São Paulo,SP,2018,249.90,2025-01-05,https://www.espn.com.br/esports/artigo/_/id/4339344/paixao-tem-preco-veja-diferenca-de-valor-entre-camisas-de-esportes-eletronicos-e-tradicionais
São Paulo,SP,2020,249.99,2025-01-05,https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html
São Paulo,SP,2023,349.00,2025-01-05,https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml
Santos,SP,2015,229.00,2025-01-05,https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/
Santos,SP,2016,269.90,2025-01-05,https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata
Santos,SP,2020,259.99,2025-01-05,https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html
Santos,SP,2023,299.90,2025-01-05,https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml
Palmeiras,SP,2013,199.90,2025-01-05,https://esportes.r7.com/futebol/fotos/valores-de-camisas-de-times-brasileiros-valem-mais-que-as-de-europeus-entenda-07082013/
Palmeiras,SP,2014,249.90,2025-01-05,https://ge.globo.com/futebol/times/palmeiras/noticia/2014/04/palmeiras-vai-estrear-novo-uniforme-do-centenario-no-brasileirao.html
Palmeiras,SP,2015,219.00,2025-01-05,https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/
Palmeiras,SP,2016,249.90,2025-01-05,https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata
Palmeiras,SP,2017,249.99,2025-01-05,https://www.palmeiras.com.br/noticias/com-detalhes-dourados-novo-uniforme-3-homenageia-arrancada-heroica-de-1942/
Palmeiras,SP,2018,249.99,2025-01-05,https://www.espn.com.br/esports/artigo/_/id/4339344/paixao-tem-preco-veja-diferenca-de-valor-entre-camisas-de-esportes-eletronicos-e-tradicionais
Palmeiras,SP,2019,249.90,2025-01-05,https://www.palmeiras.com.br/noticias/puma-apresenta-a-nova-colecao-do-palmeiras-para-a-temporada-2019/
Palmeiras,SP,2020,249.90,2025-01-05,https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html
Palmeiras,SP,2021,269.90,2025-01-05,https://www.palmeiras.com.br/noticias/palmeiras-apresenta-novos-uniformes-para-temporada-2021/
Palmeiras,SP,2022,299.90,2025-01-05,https://www.lance.com.br/palmeiras/palmeiras-lanca-nova-camisa-em-homenagem-aos-80-anos-da-arrancada-heroica.html
Palmeiras,SP,2023,329.90,2025-01-05,https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml
Palmeiras,SP,2024,369.90,2025-01-05,https://ge.globo.com/futebol/times/palmeiras/noticia/2024/01/26/palmeiras-lanca-novas-camisas-para-a-temporada-de-2024-veja-fotos.ghtml
Corinthians,SP,2013,199.90,2025-01-05,https://esportes.r7.com/futebol/fotos/valores-de-camisas-de-times-brasileiros-valem-mais-que-as-de-europeus-entenda-07082013/
Corinthians,SP,2015,229.00,2025-01-05,https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/
Corinthians,SP,2016,399.90,2025-01-05,https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata
Corinthians,SP,2017,249.90,2025-01-05,https://ge.globo.com/futebol/times/corinthians/noticia/corinthians-lanca-novos-uniformes-antes-do-classico-veja-os-modelos.ghtml
Corinthians,SP,2018,249.90,2025-01-05,https://www.espn.com.br/esports/artigo/_/id/4339344/paixao-tem-preco-veja-diferenca-de-valor-entre-camisas-de-esportes-eletronicos-e-tradicionais
Corinthians,SP,2019,199.00,2025-01-05,https://www.meutimao.com.br/noticias-do-corinthians/316401/com-presenca-de-ronaldo-corinthians-lanca-novo-primeiro-uniforme-para-a-temporada-veja-fotos
Corinthians,SP,2020,249.99,2025-01-05,https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html
Corinthians,SP,2021,249.99,2025-01-05,https://ge.globo.com/futebol/times/corinthians/noticia/noticias-corinthians-nova-camisa-listrada-dois-segunda-fotos-preco-uniforme.ghtml
Corinthians,SP,2022,244.99,2025-01-05,https://www.meutimao.com.br/noticias-do-corinthians/430253/confira-toda-a-linha-do-modelo-tres-lancada-pelo-corinthians-nesta-quinta-feira
Corinthians,SP,2023,299.99,2025-01-05,https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml
Corinthians,SP,2024,332.49,2025-01-05,https://www.meutimao.com.br/noticias-do-corinthians/476283/novas-camisas-do-corinthians-ja-estao-disponiveis-para-venda-saiba-como-comprar
Athletico-PR,PR,2020,259.90,2025-01-05,https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html
Sport,PE,2020,259.90,2025-01-05,https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html
Bragantino,SP,2020,249.99,2025-01-05,https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html
Fortaleza,CE,2020,249.90,2025-01-05,https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html
Coritiba,PR,2020,229.99,2025-01-05,https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html
Ceará,CE,2020,229.90,2025-01-05,https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html
Bahia,BA,2020,219.99,2025-01-05,https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html
Goiás,GO,2020,199.90,2025-01-05,https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html
Atlético-GO,GO,2020,169.90,2025-01-05,https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html
