"team","state","year","value","supplier","access_date","source"
"Vasco","RJ","2017","239.94","Umbro","2025-01-05","https://www.facebook.com/vascodagama/posts/garanta-j%25C3%25A1-a-sua-camisa-oficial-na-shop-vasco-em-at%25C3%25A9-9x-de-r-2666-e-personalize-/10158985597835454/?locale=pt_BR"
"Vasco","RJ","2018","199.99","Diadora","2025-01-05","https://www.facebook.com/vascodagama/posts/ainda-n%C3%A3o-garantiu-a-sua-camisa-oficial-2018-do-vasc%C3%A3o-aproveite-o-natal-da-shop/10161360124985454/?locale=zh_CN"
"Vasco","RJ","2019","199.90","Diadora","2025-01-05","https://mantosdofutebol.com.br/2019/03/erro-loja-faz-camisa-vasco-ser-vendida-a-r-1999/"
"Vasco","RJ","2020","269.99","Kappa","2025-01-05","https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html"
"Vasco","RJ","2023","289.90","Kappa","2025-01-05","https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml"
"Vasco","RJ","2024","349.00","Kappa","2025-01-05","https://www.sportingnews.com/br/futebol-brasileiro/noticias/terceira-camisa-vasco-como-e-quanto-custa-valor-resposta/603390a6ab620149c72f02eb"
"Botafogo","RJ","2015","129.00","Puma","2025-01-05","https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/"
"Botafogo","RJ","2016","249.90","Topper","2025-01-05","https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata"
"Botafogo","RJ","2020","249.90","Kappa","2025-01-05","https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html"
"Botafogo","RJ","2023","279.90","Reebok","2025-01-05","https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml"
"Fluminense","RJ","2015","179.00","Adidas","2025-01-05","https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/"
"Fluminense","RJ","2016","229.90","Dryworld","2025-01-05","https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata"
