"team","state","year","value","value_int","supplier","value_add_05","value_add_10","value_add_15","value_sub_05","value_sub_10","value_sub_15","wage_value","wage_value_percent","wage_value_percent_int","ipca_value","access_date","source"
"Botafogo","RJ","2015","129.0","129","Puma","135","141","148","122","116","109","788.0","16.37","16","10.67","2025-01-05","https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/"
"Botafogo","RJ","2016","249.9","249","Topper","261","273","286","236","224","211","880.0","28.3","28","6.29","2025-01-05","https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata"
"Botafogo","RJ","2017","249.9","249","Topper","261","273","286","236","224","211","937.0","26.57","26","2.95","2025-02-23","https://ge.globo.com/futebol/times/botafogo/noticia/bota-quebra-recorde-de-venda-de-camisa-mais-que-o-dobro-da-chegada-do-seedorf.ghtml"
"Botafogo","RJ","2019","249.9","249","Kappa","261","273","286","236","224","211","998.0","24.95","24","4.31","2025-02-23","https://mantosdofutebol.com.br/2019/10/camisas-botafogo-2019-2020-kappa/"
"Botafogo","RJ","2020","249.9","249","Kappa","261","273","286","236","224","211","1045.0","23.83","23","4.52","2025-01-05","https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html"
"Botafogo","RJ","2021","259.9","259","Kappa","271","284","297","246","233","220","1100.0","23.55","23","10.06","2025-02-23","https://www.botafogo.com.br/noticias/6675"
"Botafogo","RJ","2022","279.9","279","Wev","292","306","320","265","251","237","1212.0","23.02","23","5.79","2025-02-23","https://mantosdofutebol.com.br/2022/08/botafogo-loja-quatro-novas-camisas-2022/"
"Botafogo","RJ","2023","279.9","279","Reebok","292","306","320","265","251","237","1320.0","21.14","21","4.62","2025-01-05","https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml"
"Botafogo","RJ","2024","349.99","349","Reebok","366","383","401","331","314","296","1412.0","24.72","24","4.83","2025-02-23","https://store.botafogo.com.br/camisa-masc-away-botafogo---24-25-btf-7152400257_pai/p?srsltid=AfmBOoobVWTRjlSyvRH5DwGl8ACM1aidhMRL0kMyj_XXZlro4yXj0MFz"
"Fluminense","RJ","2013","199.9","199","Adidas","208","218","228","189","179","169","678.0","29.35","29","5.91","2025-02-23","https://mantosdofutebol.com.br/2013/01/fluminense-adidas-2013/"
"Fluminense","RJ","2014","219.9","219","Adidas","229","240","251","208","197","186","724.0","30.25","30","6.41","2025-02-23","https://www.uol.com.br/esporte/futebol/ultimas-noticias/2014/04/22/com-listas-verticais-fornecedora-lanca-segunda-camisa-do-flu-para-2014.htm"
